PrimeA, PrimeB
11, 13
3, 5
29, 31
137, 139
71, 73
179, 181
197, 199
239, 241
347, 349
281, 283
431, 433
17, 19
59, 61
107, 109
101, 103
149, 151
227, 229
191, 193
269, 271
311, 313
5, 7
41, 43
419, 421
461, 463
569, 571
617, 619
659, 661
881, 883
827, 829
1049, 1051
1091, 1093
1301, 1303
1427, 1429
1289, 1291
1721, 1723
1931, 1933
1667, 1669
2141, 2143
521, 523
599, 601
641, 643
2267, 2269
1877, 1879
2309, 2311
2087, 2089
821, 823
809, 811
2129, 2131
2339, 2341
857, 859
2381, 2383
1031, 1033
1019, 1021
2549, 2551
1061, 1063
2687, 2689
2591, 2593
2729, 2731
1151, 1153
1229, 1231
1451, 1453
1277, 1279
2801, 2803
1481, 1483
1319, 1321
2969, 2971
1619, 1621
1487, 1489
1607, 1609
3359, 3361
1787, 1789
1697, 1699
1871, 1873
3527, 3529
1997, 1999
1949, 1951
2081, 2083
2027, 2029
2111, 2113
2237, 2239
2657, 2659
2711, 2713
2789, 2791
3257, 3259
3119, 3121
3299, 3301
2999, 3001
3167, 3169
3329, 3331
3251, 3253
3371, 3373
3389, 3391
3467, 3469
3557, 3559
3821, 3823
3767, 3769
4157, 4159
3851, 3853
4241, 4243
4019, 4021
4229, 4231
4271, 4273
4787, 4789
4481, 4483
4649, 4651
3461, 3463
3539, 3541
5417, 5419
3581, 3583
5501, 5503
5279, 5281
3671, 3673
3929, 3931
3917, 3919
5879, 5881
4049, 4051
4001, 4003
4091, 4093
6089, 6091
4127, 4129
6131, 6133
4217, 4219
6299, 6301
4337, 4339
4421, 4423
4547, 4549
6551, 6553
4259, 4261
6761, 6763
4799, 4801
5657, 5659
4517, 4519
4967, 4969
5741, 5743
5009, 5011
4637, 4639
4721, 4723
5867, 5869
4931, 4933
5021, 5023
5639, 5641
5231, 5233
5099, 5101
5849, 5851
5441, 5443
5477, 5479
5519, 5521
5651, 5653
6791, 6793
6959, 6961
7307, 7309
7127, 7129
7349, 7351
7211, 7213
6197, 6199
7559, 7561
6269, 6271
7547, 7549
7589, 7591
6449, 6451
7757, 7759
6689, 6691
6659, 6661
6359, 6361
8009, 8011
6701, 6703
6827, 6829
8231, 8233
6569, 6571
6869, 6871
6779, 6781
8219, 8221
6947, 6949
8387, 8389
8429, 8431
8597, 8599
7487, 7489
8819, 8821
8861, 8863
7331, 7333
7457, 7459
9437, 9439
9239, 9241
9281, 9283
7877, 7879
7949, 7951
8087, 8089
8291, 8293
8537, 8539
8627, 8629
10037, 10039
9857, 9859
8999, 9001
8969, 8971
10331, 10333
10067, 10069
8837, 8839
9041, 9043
10457, 10459
9011, 9013
10499, 10501
9419, 9421
10709, 10711
9461, 9463
9431, 9433
9341, 9343
9629, 9631
10529, 10531
10007, 10009
9767, 9769
9677, 9679
9719, 9721
10091, 10093
11171, 11173
9929, 9931
10271, 10273
11117, 11119
11159, 11161
10139, 10141
10301, 10303
10427, 10429
11549, 11551
10859, 10861
11717, 11719
11831, 11833
10889, 10891
11057, 11059
11969, 11971
11069, 11071
12041, 12043
10937, 10939
11351, 11353
11489, 11491
12251, 12253
11699, 11701
12377, 12379
11777, 11779
12071, 12073
11939, 11941
12161, 12163
12107, 12109
12239, 12241
13397, 13399
12539, 12541
13007, 13009
13217, 13219
12611, 12613
12917, 12919
13691, 13693
13001, 13003
13337, 13339
13901, 13903
12821, 12823
13679, 13681
13721, 13723
13757, 13759
13931, 13933
14009, 14011
14321, 14323
14447, 14449
14561, 14563
14387, 14389
13709, 13711
14867, 14869
13877, 13879
13829, 13831
13997, 13999
15287, 15289
15329, 15331
14081, 14083
15359, 15361
14249, 14251
15269, 15271
14549, 14551
15737, 15739
14591, 14593
15581, 15583
14627, 14629
15137, 15139
15647, 15649
15731, 15733
16631, 16633
16451, 16453
15641, 15643
16067, 16069
16829, 16831
16061, 16063
16187, 16189
16361, 16363
16229, 16231
17387, 17389
17207, 17209
17597, 17599
17291, 17293
15887, 15889
16649, 16651
17681, 17683
17417, 17419
15971, 15973
16691, 16693
16901, 16903
16139, 16141
18059, 18061
17027, 17029
17837, 17839
18311, 18313
17579, 17581
17921, 17923
18047, 18049
18521, 18523
17747, 17749
17489, 17491
17789, 17791
18131, 18133
17957, 17959
17657, 17659
18041, 18043
16979, 16981
17909, 17911
17189, 17191
18119, 18121
18251, 18253
18287, 18289
18539, 18541
19139, 19141
19181, 19183
17987, 17989
18917, 18919
19697, 19699
19211, 19213
19991, 19993
19379, 19381
19427, 19429
19421, 19423
19469, 19471
20021, 20023
18911, 18913
20147, 20149
19079, 19081
19889, 19891
19841, 19843
20747, 20749
20231, 20233
20357, 20359
20441, 20443
21377, 21379
20477, 20479
19541, 19543
21587, 21589
20639, 20641
20771, 20773
21839, 21841
20807, 20809
19751, 19753
20897, 20899
20981, 20983
19961, 19963
21017, 21019
22091, 22093
21191, 21193
21059, 21061
21317, 21319
22637, 22639
21611, 21613
21521, 21523
21737, 21739
21647, 21649
21491, 21493
23057, 23059
20507, 20509
22157, 22159
22109, 22111
20549, 20551
22367, 22369
22277, 22279
23561, 23563
22619, 22621
23687, 23689
20717, 20719
22571, 22573
22037, 22039
22697, 22699
24107, 24109
22739, 22741
23039, 23041
21011, 21013
22541, 22543
23291, 23293
21557, 21559
23627, 23629
23201, 23203
23669, 23671
21599, 21601
23369, 23371
25031, 25033
23537, 23539
25409, 25411
22271, 22273
25577, 25579
23831, 23833
22961, 22963
22481, 22483
22859, 22861
25307, 25309
23027, 23029
25997, 25999
25601, 25603
24419, 24421
23741, 23743
26249, 26251
23909, 23911
26711, 26713
24179, 24181
25301, 25303
26879, 26881
25469, 25471
24977, 24979
24371, 24373
25847, 25849
26861, 26863
25931, 25933
24917, 24919
25169, 25171
27239, 27241
28097, 28099
26729, 26731
27281, 27283
28181, 28183
28307, 28309
27407, 27409
26111, 26113
28349, 28351
27107, 27109
25799, 25801
27527, 27529
27737, 27739
26261, 26263
26699, 26701
26951, 26953
29021, 29023
28409, 28411
28751, 28753
29399, 29401
27539, 27541
28619, 28621
27581, 27583
28661, 28663
26681, 26683
29567, 29569
29129, 29131
26891, 26893
27749, 27751
29207, 29209
27059, 27061
27791, 27793
30491, 30493
27917, 27919
29759, 29761
29669, 29671
27479, 27481
30011, 30013
29879, 29881
30869, 30871
27689, 27691
30089, 30091
30137, 30139
27941, 27943
31079, 31081
28547, 28549
31121, 31123
28109, 28111
31247, 31249
30467, 30469
28277, 28279
30389, 30391
31541, 31543
30557, 30559
28571, 28573
31181, 31183
30851, 30853
31391, 31393
32297, 32299
31727, 31729
29387, 29389
31769, 31771
32717, 32719
32801, 32803
32189, 32191
32969, 32971
32027, 32029
33179, 33181
33347, 33349
32441, 32443
30269, 30271
32609, 32611
32321, 32323
33599, 33601
32531, 32533
33767, 33769
33071, 33073
33809, 33811
32909, 32911
30839, 30841
31151, 31153
33287, 33289
33329, 33331
31319, 31321
31511, 31513
33617, 33619
33749, 33751
34649, 34651
31721, 31723
33827, 33829
34127, 34129
31847, 31849
34211, 34213
32117, 32119
32057, 32059
32141, 32143
32369, 32371
34589, 34591
35279, 35281
32411, 32413
34757, 34759
34841, 34843
34499, 34501
35447, 35449
35051, 35053
32831, 32833
35531, 35533
34961, 34963
32561, 32563
33587, 33589
35507, 35509
32939, 32941
35591, 35593
33149, 33151
35801, 35803
34259, 34261
34301, 34303
36011, 36013
34469, 34471
34511, 34513
36791, 36793
34031, 34033
34847, 34849
34157, 34159
36899, 36901
34367, 34369
37337, 37339
37019, 37021
37361, 37363
37547, 37549
37589, 37591
35081, 35083
37571, 37573
37691, 37693
35729, 35731
37781, 37783
35897, 35899
37991, 37993
38237, 38239
36107, 36109
38327, 38329
38447, 38449
36527, 36529
38747, 38749
35837, 35839
36779, 36781
39041, 39043
39161, 39163
36341, 36343
36467, 36469
39839, 39841
39227, 39229
37199, 37201
39371, 39373
36929, 36931
37307, 37309
40427, 40429
37811, 37813
40637, 40639
40847, 40849
41141, 41143
38567, 38569
38459, 38461
38609, 38611
40127, 40129
38669, 38671
38651, 38653
38711, 38713
41519, 41521
40151, 40153
38921, 38923
39239, 39241
40529, 40531
39341, 39343
40697, 40699
39509, 39511
39827, 39829
41981, 41983
40037, 40039
41177, 41179
41201, 41203
41387, 41389
42569, 42571
41411, 41413
41849, 41851
42017, 42019
41957, 41959
41231, 41233
43577, 43579
41609, 41611
43787, 43789
42461, 42463
42071, 42073
42839, 42841
42281, 42283
42899, 42901
42407, 42409
43049, 43051
42701, 42703
43319, 43321
43781, 43783
45341, 45343
43889, 43891
43541, 43543
44201, 44203
46181, 46183
46307, 46309
44267, 44269
43961, 43963
41759, 41761
46349, 46351
44621, 44623
44087, 44089
44129, 44131
44771, 44773
42179, 42181
46769, 46771
42221, 42223
44381, 44383
47147, 47149
45587, 45589
45317, 45319
42641, 42643
46049, 46051
45137, 45139
46091, 46093
45179, 45181
43397, 43399
45821, 45823
43607, 43609
43649, 43651
46679, 46681
47777, 47779
44027, 44029
44279, 44281
44531, 44533
47057, 47059
44699, 44701
48407, 48409
46829, 46831
45119, 45121
47351, 47353
48869, 48871
49121, 49123
49331, 49333
46271, 46273
46589, 46591
49667, 49669
48779, 48781
48821, 48823
47387, 47389
49919, 49921
48989, 48991
46439, 46441
49031, 49033
47417, 47419
50129, 50131
47807, 47809
49199, 49201
49367, 49369
50549, 50551
50591, 50593
49409, 49411
47711, 47713
46817, 46819
48311, 48313
49787, 49789
50969, 50971
51347, 51349
48479, 48481
51767, 51769
48647, 48649
50459, 50461
48731, 48733
48857, 48859
47657, 47659
47699, 47701
47741, 47743
49277, 49279
52859, 52861
51131, 51133
49529, 49531
52901, 52903
49739, 49741
48119, 48121
48677, 48679
48539, 48541
51341, 51343
49991, 49993
49391, 49393
53279, 53281
49169, 49171
49937, 49939
50021, 50023
49547, 49549
51719, 51721
51971, 51973
50051, 50053
51197, 51199
51239, 51241
50261, 50263
52181, 52183
54497, 54499
54539, 54541
54581, 54583
51827, 51829
51869, 51871
51419, 51421
54917, 54919
50891, 50893
52289, 52291
51059, 51061
52541, 52543
55337, 55339
55631, 55633
52709, 52711
51437, 51439
53147, 53149
53231, 53233
51479, 51481
53087, 53089
53171, 53173
53609, 53611
53549, 53551
53591, 53593
53717, 53719
54011, 54013
52067, 52069
53267, 53269
52361, 52363
56597, 56599
56807, 56809
56891, 56893
55331, 55333
53897, 53899
54401, 54403
54419, 54421
55439, 55441
54629, 54631
57269, 57271
55049, 55051
55817, 55819
55619, 55621
55901, 55903
55217, 55219
55661, 55663
57899, 57901
56237, 56239
56039, 56041
56207, 56209
58109, 58111
58151, 58153
55931, 55933
56501, 56503
56099, 56101
57221, 57223
56267, 56269
56711, 56713
56477, 56479
57347, 57349
58907, 58909
57557, 57559
56921, 56923
56531, 56533
57191, 57193
56909, 56911
58229, 58231
58439, 58441
57527, 57529
57329, 57331
60167, 60169
57791, 57793
58367, 58369
58169, 58171
58451, 58453
61469, 61471
58787, 58789
59009, 59011
59051, 59053
59207, 59209
59417, 59419
59219, 59221
59627, 59629
59669, 59671
60917, 60919
62141, 62143
59471, 59473
60089, 60091
61379, 61381
60257, 60259
60761, 60763
58391, 58393
60887, 60889
60101, 60103
62981, 62983
58601, 58603
63311, 63313
61559, 61561
63647, 63649
63689, 63691
59021, 59023
60647, 60649
61979, 61981
62189, 62191
64151, 64153
64781, 64783
59357, 59359
62987, 62989
63029, 63031
59441, 59443
60899, 60901
63197, 63199
61151, 61153
65537, 65539
65579, 65581
64451, 64453
64577, 64579
64661, 64663
60659, 60661
67217, 67219
63419, 63421
63587, 63589
67427, 67429
61331, 61333
63839, 63841
65837, 65839
64301, 64303
67931, 67933
62129, 62131
68897, 68899
62297, 62299
62927, 62929
67139, 67141
62969, 62971
64877, 64879
63389, 63391
64919, 64921
63599, 63601
65171, 65173
65099, 65101
69149, 69151
69191, 69193
65267, 65269
65519, 65521
65717, 65719
64187, 64189
65927, 65929
65729, 65731
69401, 69403
65981, 65983
65027, 65029
66107, 66109
69737, 69739
66359, 66361
65447, 65449
66851, 66853
65699, 65701
66569, 66571
68819, 68821
67187, 67189
70199, 70201
67271, 67273
69029, 69031
66947, 66949
69491, 69493
69827, 69829
70619, 70621
66749, 66751
67409, 67411
70997, 70999
70121, 70123
67577, 67579
68111, 68113
67211, 67213
70457, 70459
68279, 68281
68447, 68449
68489, 68491
67757, 67759
68207, 68209
70877, 70879
70919, 70921
71711, 71713
71879, 71881
68711, 68713
68879, 68881
71339, 71341
72089, 72091
69257, 69259
71549, 71551
69761, 69763
69497, 69499
72467, 72469
69929, 69931
70139, 70141
70001, 70003
70181, 70183
72221, 72223
70979, 70981
70379, 70381
69857, 69859
70841, 70843
70487, 70489
70571, 70573
73061, 73063
70949, 70951
71261, 71263
71387, 71389
73607, 73609
71471, 71473
74609, 74611
71327, 71329
71807, 71809
72869, 72871
71411, 71413
73037, 73039
72101, 72103
72227, 72229
72269, 72271
72167, 72169
75617, 75619
72251, 72253
72647, 72649
74381, 74383
72671, 72673
74507, 74509
73361, 73363
74717, 74719
74759, 74761
76079, 76081
75011, 75013
75539, 75541
74159, 74161
74201, 74203
75707, 75709
73679, 73681
75389, 75391
74411, 74413
76541, 76543
76001, 76003
73847, 73849
76421, 76423
74099, 74101
75167, 75169
75209, 75211
76961, 76963
76649, 76651
77261, 77263
77237, 77239
74729, 74731
77489, 77491
76259, 76261
77549, 77551
78437, 78439
78539, 78541
75401, 75403
77267, 77269
77477, 77479
78137, 78139
79151, 79153
77687, 77689
78977, 78979
75989, 75991
79697, 79699
79631, 79633
76157, 76159
78191, 78193
79841, 79843
76367, 76369
79229, 79231
78569, 78571
78779, 78781
80471, 80473
79397, 79399
76829, 76831
76871, 76873
80681, 80683
79691, 79693
80747, 80749
77417, 77419
80831, 80833
81017, 81019
79901, 79903
77711, 77713
81041, 81043
81647, 81649
81899, 81901
79997, 79999
78509, 78511
80447, 80449
80489, 80491
80207, 80209
82007, 82009
80909, 80911
78887, 78889
82529, 82531
80627, 80629
82217, 82219
81371, 81373
79559, 79561
80669, 80671
82469, 82471
79811, 79813
81047, 81049
82721, 82723
80147, 80149
82889, 82891
80231, 80233
81551, 81553
82757, 82759
83267, 83269
81929, 81931
80777, 80779
81971, 81973
82139, 82141
82349, 82351
83219, 83221
83561, 83563
82559, 82561
82727, 82729
81197, 81199
84629, 84631
81281, 81283
82811, 82813
83639, 83641
83231, 83233
84059, 84061
85091, 85093
83399, 83401
81701, 81703
82037, 82039
85427, 85429
84317, 84319
85931, 85933
84521, 84523
86351, 86353
84869, 84871
85199, 85201
